                             * simple test circuit
                             AC Analysis  Mon Aug 25 02:44:10  2025
--------------------------------------------------------------------------------
Index   frequency       v(vd)                           
--------------------------------------------------------------------------------
0	1.000000e+03	0.000000e+00,	0.000000e+00	
1	1.258925e+03	0.000000e+00,	0.000000e+00	
2	1.584893e+03	0.000000e+00,	0.000000e+00	
3	1.995262e+03	0.000000e+00,	0.000000e+00	
4	2.511886e+03	0.000000e+00,	0.000000e+00	
5	3.162278e+03	0.000000e+00,	0.000000e+00	
6	3.981072e+03	0.000000e+00,	0.000000e+00	
7	5.011872e+03	0.000000e+00,	0.000000e+00	
8	6.309573e+03	0.000000e+00,	0.000000e+00	
9	7.943282e+03	0.000000e+00,	0.000000e+00	
10	1.000000e+04	0.000000e+00,	0.000000e+00	
11	1.258925e+04	0.000000e+00,	0.000000e+00	
12	1.584893e+04	0.000000e+00,	0.000000e+00	
13	1.995262e+04	0.000000e+00,	0.000000e+00	
14	2.511886e+04	0.000000e+00,	0.000000e+00	
15	3.162278e+04	0.000000e+00,	0.000000e+00	
16	3.981072e+04	0.000000e+00,	0.000000e+00	
17	5.011872e+04	0.000000e+00,	0.000000e+00	
18	6.309573e+04	0.000000e+00,	0.000000e+00	
19	7.943282e+04	0.000000e+00,	0.000000e+00	
20	1.000000e+05	0.000000e+00,	0.000000e+00	
21	1.258925e+05	0.000000e+00,	0.000000e+00	
22	1.584893e+05	0.000000e+00,	0.000000e+00	
23	1.995262e+05	0.000000e+00,	0.000000e+00	
24	2.511886e+05	0.000000e+00,	0.000000e+00	
25	3.162278e+05	0.000000e+00,	0.000000e+00	
26	3.981072e+05	0.000000e+00,	0.000000e+00	
27	5.011872e+05	0.000000e+00,	0.000000e+00	
28	6.309573e+05	0.000000e+00,	0.000000e+00	
29	7.943282e+05	0.000000e+00,	0.000000e+00	
30	1.000000e+06	0.000000e+00,	0.000000e+00	

                             * simple test circuit
                             AC Analysis  Mon Aug 25 02:44:10  2025
--------------------------------------------------------------------------------
Index   frequency       v(vg)                           
--------------------------------------------------------------------------------
0	1.000000e+03	0.000000e+00,	0.000000e+00	
1	1.258925e+03	0.000000e+00,	0.000000e+00	
2	1.584893e+03	0.000000e+00,	0.000000e+00	
3	1.995262e+03	0.000000e+00,	0.000000e+00	
4	2.511886e+03	0.000000e+00,	0.000000e+00	
5	3.162278e+03	0.000000e+00,	0.000000e+00	
6	3.981072e+03	0.000000e+00,	0.000000e+00	
7	5.011872e+03	0.000000e+00,	0.000000e+00	
8	6.309573e+03	0.000000e+00,	0.000000e+00	
9	7.943282e+03	0.000000e+00,	0.000000e+00	
10	1.000000e+04	0.000000e+00,	0.000000e+00	
11	1.258925e+04	0.000000e+00,	0.000000e+00	
12	1.584893e+04	0.000000e+00,	0.000000e+00	
13	1.995262e+04	0.000000e+00,	0.000000e+00	
14	2.511886e+04	0.000000e+00,	0.000000e+00	
15	3.162278e+04	0.000000e+00,	0.000000e+00	
16	3.981072e+04	0.000000e+00,	0.000000e+00	
17	5.011872e+04	0.000000e+00,	0.000000e+00	
18	6.309573e+04	0.000000e+00,	0.000000e+00	
19	7.943282e+04	0.000000e+00,	0.000000e+00	
20	1.000000e+05	0.000000e+00,	0.000000e+00	
21	1.258925e+05	0.000000e+00,	0.000000e+00	
22	1.584893e+05	0.000000e+00,	0.000000e+00	
23	1.995262e+05	0.000000e+00,	0.000000e+00	
24	2.511886e+05	0.000000e+00,	0.000000e+00	
25	3.162278e+05	0.000000e+00,	0.000000e+00	
26	3.981072e+05	0.000000e+00,	0.000000e+00	
27	5.011872e+05	0.000000e+00,	0.000000e+00	
28	6.309573e+05	0.000000e+00,	0.000000e+00	
29	7.943282e+05	0.000000e+00,	0.000000e+00	
30	1.000000e+06	0.000000e+00,	0.000000e+00	
